id,property_description,area_jhb,listing_agency,rental_amount,street_address,occupation_date,Bedrooms_1,Bedrooms_2,bathrooms,area,Feature_1,Feature_2
20191856,"R 20 000 3 Bedroom Townhouse to Rent in Parkview This modern open plan industrial looking double volume space is for the professional, who likes to entertain as it has a small pool, built-in braai and covered ... 3 | 2 Floor Size: 229 m²",3 Bedroom Townhouse to rent in Parkview - Johannesburg, Blue Living Properties,R 20 000,,,Beds,3,3 | 2, Floor Size: 229 m²,3 Bedroom Townhouse to Rent in Parkview,229 m²
20191857,"R 5 500 2 Bedroom Apartment / Flat to Rent in Meredale Hurry! This superb unit will go quickly! - Spacious living areas, including a patio that is perfect for a relaxing weekend braai - Conveniently located just ... 2 | 1",2 Bedroom Apartment / flat to rent in Meredale - Johannesburg, 2LetNow - JHB,R 5 500,,,Beds,2,2 | 1, ,2 Bedroom Apartment / Flat to Rent in Meredale,
20191858,"R 1 813 Apartment / Flat to Rent in Hillbrow The unit is spacious, unique with a classic touch. It offers a bathroom, kitchen and perfect lounge for ... Available: 04 February 2019 1 Floor Size: 20 m²", Trafalgar Property Management, Bathrooms, , ,,,20 m²,,,Available: 04 February 2019,
20191859,"R 24 000 3 Bedroom Townhouse to Rent in Glenvista STUNNING, spacious and modern 3 bedroom cluster. 3 bedrooms, 3 bathrooms (all en-suite), guest toilet. ... Available: 01 April 2019 3 | 3 | 2",3 Bedroom Townhouse to rent in Glenvista - Johannesburg, Harcourts Falcons,R 24 000,,Available: 01 April 2019,Beds,3,3,,3 Bedroom Townhouse to Rent in Glenvista,
20191860,"R 8 450 4 Pritchard , Newtown 0.5 Bedroom Apartment / Flat to Rent in Newtown Dumela, Lotjani, Aa, Sawubona, Avuxen, Hello! Executive, large and luxury apartment available for immediate occupation. Ultra modern, beautiful floors ... 0.5 | 1 Floor Size: 83 m²",0.5 Bedroom Apartment / flat to rent in Newtown - Johannesburg, Nkosi Property Group Office,R 8 450,"4 Pritchard , Newtown",,Beds,0.5,0.5 | 1, Floor Size: 83 m²,0.5 Bedroom Apartment / Flat to Rent in Newtown,83 m²
20191861,"R 11 000 2 Bedroom Apartment / Flat to Rent in Parkwood Just delightful. A stunning 2 bed, 1 bath apartment in this very popular complex. Spacious lounge / dining ... Available: 15 February 2019 2 | 1.5 Floor Size: 109 m²",2 Bedroom Apartment / flat to rent in Parkwood - Johannesburg, Vered Estates,R 11 000,,Available: 15 February 2019,Beds,2,1.5,109 m²,2 Bedroom Apartment / Flat to Rent in Parkwood,
20191862,"R 14 000 4 Princess Place, Parktown 3 Bedroom Apartment / Flat to Rent in Parktown This beautifully well-lit apartment offers three bedrooms - the main of which has a walk-in closet. The ... Available: 01 February 2019 3 | 1",3 Bedroom Apartment / flat to rent in Parktown - Johannesburg, Rawson Properties Benoni East,R 14 000,"4 Princess Place, Parktown",Available: 01 February 2019,Beds,3,1,,3 Bedroom Apartment / Flat to Rent in Parktown,
20191863,"R 6 500 86 Dunbar Street, Bellevue 3 Bedroom Apartment / Flat to Rent in Bellevue Lovely 3 bedroom flat to rent in a quiet small building in Bellevue. Safe and secure building with lovely ... Available: 08 April 2019 3 | 1",3 Bedroom Apartment / flat to rent in Bellevue - Johannesburg, Framework Property Services,R 6 500,"86 Dunbar Street, Bellevue",Available: 08 April 2019,Beds,3,1,,3 Bedroom Apartment / Flat to Rent in Bellevue,
20191864,"R 3 800 187 Lilian Ngoyi Street Lara’s Place, Johannesburg Central 0.5 Bedroom Apartment / Flat to Rent in Johannesburg Central Everyone deserves a place they can call home. No matter where you come from or where you are going in life ... Available: 11 February 2019 0.5 | 1", Beds, Bathrooms,,, ,1,,,,Available: 11 February 2019,
20191865,R 13 500 Apartment / Flat to Rent in Killarney Large 3 bedroom ( 200sqm ) apartment beautifully restored with dream kitchen and magnificent bathrooms just renovated. Huge bright bedrooms with gleaming ..., ,  ,Apartment / Flat to Rent in Killarney,Large 3 bedroom ( 200sqm ) apartment beautifully restored with dream kitchen and magnificent bathrooms just renovated. Huge bright bedrooms with gleaming ...,,,,,,,
20191866,"R 18 000 Rosebank/melrose, Johannesburg, Sa , Rosebank 2 Bedroom Apartment / Flat to Rent in Rosebank Modern newly built garden unit north facing units. Cutting-edge architecture. Top of the range finishes ... Available: 01 March 2019 2 | 2.5 | 2 Floor Size: 116 m²", Beds, Bathrooms,,, ,2.5,116 m²,,,Available: 01 March 2019,
20191867,"R 4 000 Jamie Lodge, Ferreira Street, Kenilworth 2 Bedroom Apartment / Flat to Rent in Kenilworth A spacious two bedroom apartment available for rent. The bathroom available is a full bathroom, thus it includes a shower, bath, toilet and basin. ... 2 | 1 Floor Size: 100 m²",2 Bedroom Apartment / flat to rent in Kenilworth - Johannesburg, Landstar Property Solutions,R 4 000,"Jamie Lodge, Ferreira Street, Kenilworth",,Beds,2,2 | 1, Floor Size: 100 m²,2 Bedroom Apartment / Flat to Rent in Kenilworth,100 m²
20191868,"R 5 800 132 10th St, Orange Grove 1 Bedroom Apartment / Flat to Rent in Orange Grove One bedroom apartment to rent on Orange Grove/Linksfield border. Off street parking. Wired for DSTV Available: 01 May 2019 1 | 1 | 1 Floor Size: 54 m²",1 Bedroom Apartment / flat to rent in Orange Grove - Johannesburg, Rental,R 5 800,"132 10th St, Orange Grove",Available: 01 May 2019,Beds,1,1,54 m²,1 Bedroom Apartment / Flat to Rent in Orange Grove,
20191869,"R 6 500 2 Bedroom Townhouse to Rent in Glenvista 2 Bedroom Townhouse in Glenvista. This townhouse offers 2 bedroom, 1 bathroom, open plan kitchen and lounge that leads onto a balcony. Communal pool, lapa and ... 2 | 1",2 Bedroom Townhouse to rent in Glenvista - Johannesburg, Chas Everitt Glenvista,R 6 500,,,Beds,2,2 | 1, ,2 Bedroom Townhouse to Rent in Glenvista,
20191870,R 37 000 2 Bedroom Apartment / Flat to Rent in Melrose Arch Calling all executives who enjoy a lock up and go in superb luxury! Completely furnished and equipped with ... Available: 21 February 2019 2 | 2 | 2, Beds, Bathrooms,,, ,2,,,,Available: 21 February 2019,
20191871,R 14 950 3 Bedroom Apartment / Flat to Rent in Birdhaven Delightful apartment in the most amazing suburb. Large master bedroom with plenty of cupboard space plus good sized 2nd and 3rd bedrooms. The apartment has a ... 3 | 2,3 Bedroom Apartment / flat to rent in Birdhaven - Johannesburg, Blue Living Properties,R 14 950,,,Beds,3,3 | 2, ,3 Bedroom Apartment / Flat to Rent in Birdhaven,
20191872,"R 5 000 3 Bedroom Apartment / Flat to Rent in Auckland Park A room available in a three bedroom apartment, fully furnished. Close to UJ, AFDA, WITS and many other ... Available: 06 March 2019 3 | 1 Floor Size: 69 m²",3 Bedroom Apartment / flat to rent in Auckland Park - Johannesburg, Rental,R 5 000,,Available: 06 March 2019,Beds,3,1,69 m²,3 Bedroom Apartment / Flat to Rent in Auckland Park,
20191873,"R 5 850 2 Bedroom Apartment / Flat to Rent in South Hills Hurry to secure your unit! - Conveniently located just 15min from JHB CBD and 5 min from South Gate Mall and the brand new Mall of the South, close to all ... 2 | 1",2 Bedroom Apartment / flat to rent in South Hills - Johannesburg, 2LetNow - JHB,R 5 850,,,Beds,2,2 | 1, ,2 Bedroom Apartment / Flat to Rent in South Hills,
20191874,"R 10 500 6 Boundary Road Houghton, Houghton Estate Townhouse to Rent in Houghton Estate A modern 2 bed 2 bath ensuite in uthe famous Houghton Village Complex. The unit boosts with a lovely Kitchen with ample cupboard space with space for two ... Floor Size: 69 m²", ,Townhouse to rent in Houghton Estate - Johannesburg,,,,,,,, ,
20191875,"R 4 995 2 Bedroom Apartment / Flat to Rent in South Hills Modern 2 Bedroom, 1 bathroom, open plan kitchen and lounge. Fibre and DSTV facilities available - only needs ... Available: 31 March 2019 2 | 1 Floor Size: 43 m²","2 Bedroom Apartment / flat to rent in South Hills - Johannesburg; Just Property, Alberton; Beds; Bathrooms", ,,"Just Property, Alberton",Beds, , , ,, ,
20191876,R 5 500 1 Bedroom Apartment / Flat to Rent in Sydenham Modern fully tiled 1 bedroom 1 bathroom cottage with a kitchen and lounge. Set in a lovely garden with a ... Available: 09 April 2019 1 | 1,1 Bedroom Apartment / flat to rent in Sydenham - Johannesburg, Farah Properties,R 5 500,,Available: 09 April 2019,Beds,1,1,,1 Bedroom Apartment / Flat to Rent in Sydenham,
20191877,"R 6 500 2 Bedroom Townhouse to Rent in Glenvista 2 Bedroom Townhouse in Glenvista. This townhouse offers 2 bedroom, 1 bathroom, open plan kitchen and lounge that leads onto a balcony. Communal pool, lapa and ... 2 | 1",2 Bedroom Townhouse to rent in Glenvista - Johannesburg, Chas Everitt Glenvista,R 6 500,,,Beds,2,2 | 1, ,2 Bedroom Townhouse to Rent in Glenvista,
20191878,"R 4 750 Main Frame, 238 Main Street, Maboneng Apartment / Flat to Rent in Maboneng Seventeen stylish inner city apartments, good security and fantastic finishes, this development has soul and ... Available: 27 July 2018 1 Floor Size: 40 m²", ,  ,Apartment / Flat to Rent in Maboneng,"Seventeen stylish inner city apartments, good security and fantastic finishes, this development has soul and ...",,,,,,,
20191879,R 4 600 Apartment / Flat to Rent in Maboneng This Cozy apartment in the heart of Maboneng is an open plan Gem Perfect for a young professional.The ... Available: 02 April 2019 1, Inorbit Property, Bathrooms, , ,,,,,,Available: 02 April 2019,
20191880,"R 19 500 22 North Road Dunkeld, Dunkeld 2 Bedroom Apartment / Flat to Rent in Dunkeld Fully furnished contemporary apartment available for rental in a secure apartment block. North facing and ... Available: 31 January 2019 2 | 2.5 | 2 Floor Size: 97 m²", Beds, Bathrooms,,, ,2.5,97 m²,,,Available: 31 January 2019,
20191881,"R 6 000 1 Bedroom Apartment / Flat to Rent in Greenside East Property Description Edit Description Spacious 1 bedroom garden cottage with open plan kitchen, dining and lounge for rent. Includes water, lights and fiber ... 1 | 1",1 Bedroom Apartment / flat to rent in Greenside East - Johannesburg, Rowcor Properties Eleanor Jacobs,R 6 000,,,Beds,1,1 | 1, ,1 Bedroom Apartment / Flat to Rent in Greenside East,
20191882,R 6 500 1 Bedroom Apartment / Flat to Rent in Melville Massive (140sqm) modern cottage on a very secure property in an awesome street in Melville. Cottage is ... Available: 01 May 2019 1 | 1 | 1 Floor Size: 140 m²,1 Bedroom Apartment / flat to rent in Melville - Johannesburg, Rental,R 6 500,,Available: 01 May 2019,Beds,1,1,140 m²,1 Bedroom Apartment / Flat to Rent in Melville,
20191883,"R 2 500 Hardypol, Delvers Street, Johannesburg Central Apartment / Flat to Rent in Johannesburg Central Situated down the road from Absa Towers, these loft affordable apartments are ideal if you are working in the city and want to live closer to your place of ... 1 Floor Size: 30 m²", ,  ,Apartment / Flat to Rent in Johannesburg Central,"Situated down the road from Absa Towers, these loft affordable apartments are ideal if you are working in the city and want to live closer to your place of ...", Floor Size: 30 m²,30 m²,,,,,
20191884,"R 13 000 2 Bedroom Apartment / Flat to Rent in Riviera This beautiful detailed 2bed/2 bath duplex home in a very secure building.Centrally located in Riviera 2 bedroom, Open-plan kitchen, dining / lounge opening ... 2 | 2 Floor Size: 98 m²",2 Bedroom Apartment / flat to rent in Riviera - Johannesburg, RE/MAX Advantage,R 13 000,,,Beds,2,2 | 2, Floor Size: 98 m²,2 Bedroom Apartment / Flat to Rent in Riviera,98 m²
20191885,"R 30 000 Laura Close laura Lane melrose *** , Melrose 2 Bedroom Townhouse to Rent in Melrose This classic elegant cluster is situated within walking distance to Melrose Arch and is excellently positioned in a boomed off area Downstairs ... 2 | 2 | 3", Beds, Bathrooms,,, ,2 | 2 | 3, ,,,,
20191886,"R 15 000 Marbella 37 Pretoria Road oaklands , Oaklands 2 Bedroom Townhouse to Rent in Oaklands Offering: 2 living areas leading out to a private garden Neat modern kitchen *** Guest toilet *** Upstairs: 2 bedrooms 2 bathrooms both en suite *** ... 2 | 2.5", Beds, Bathrooms,,, ,2 | 2.5, ,,,,
20191887,"R 6 500 Observatory Avenue , Observatory 2 Bedroom Apartment / Flat to Rent in Observatory These newly renovated apartments will become available on 1 May 2019. There are 10 two bedroom apartments all ... Available: 01 May 2019 2 | 1", Beds, Bathrooms,,, ,1,,,,Available: 01 May 2019,
20191888,R 25 000 3 Bedroom Apartment / Flat to Rent in Riviera IDEAL CORPORATE OR PRIVATE RENTAL This glorious FULLY FURNISHED beautifully maintained apartment is situated in the exclusive suburb of Riviera. Available ... 3 | 2 Floor Size: 230 m²,3 Bedroom Apartment / flat to rent in Riviera - Johannesburg, Power of 2 Realty,R 25 000,,,Beds,3,3 | 2, Floor Size: 230 m²,3 Bedroom Apartment / Flat to Rent in Riviera,230 m²
20191889,"R 3 150 114 Goud Street Lustre House, Johannesburg Central 1 Bedroom Apartment / Flat to Rent in Johannesburg Central 50% off first month's rent! No deposit! This recently renovated building, situated at 114 Goud Street, offers apartments in a well managed building that ... 1 | 0.5",1 Bedroom Apartment / flat to rent in Johannesburg Central - Johannesburg, AFHCO Africa Housing Company,R 3 150,"114 Goud Street Lustre House, Johannesburg Central",,Beds,1,1 | 0.5, ,1 Bedroom Apartment / Flat to Rent in Johannesburg Central,
20191890,"R 5 200 Debra's Place, Mentz Street, Booysens 3 Bedroom Apartment / Flat to Rent in Booysens This is a very spacious three-bedroom apartment that is available for rent in Booysens. The apartment offers one full bathroom plus a guest toilet. The ... 3 | 1.5",3 Bedroom Apartment / flat to rent in Booysens - Johannesburg, Landstar Property Solutions,R 5 200,"Debra's Place, Mentz Street, Booysens",,Beds,3,3 | 1.5, ,3 Bedroom Apartment / Flat to Rent in Booysens,
20191891,"R 5 200 Debra's Place, Mentz Street, Booysens 3 Bedroom Apartment / Flat to Rent in Booysens This is a very spacious three-bedroom apartment that is available for rent in Booysens. The apartment offers one full bathroom plus a guest toilet. The ... 3 | 1.5",3 Bedroom Apartment / flat to rent in Booysens - Johannesburg, Landstar Property Solutions,R 5 200,"Debra's Place, Mentz Street, Booysens",,Beds,3,3 | 1.5, ,3 Bedroom Apartment / Flat to Rent in Booysens,
20191892,R 6 100 2 Bedroom Apartment / Flat to Rent in Ridgeway 2 bedroom 1 bath to rent in Kibler Park from 5500 *Location Johannesburg *Dwelling apartment * Tied security in our complex -24 hours security and access ... 2 | 1,2 Bedroom Apartment / flat to rent in Ridgeway - Johannesburg, 2LetNow - JHB,R 6 100,,,Beds,2,2 | 1, ,2 Bedroom Apartment / Flat to Rent in Ridgeway,
20191893,R 6 100 2 Bedroom Apartment / Flat to Rent in Winchester Hills 2 bedroom 1 bath to rent in Kibler Park from 5500 *Location Johannesburg *Dwelling apartment * Tied security in our complex -24 hours security and access ... 2 | 1,2 Bedroom Apartment / flat to rent in Winchester Hills - Johannesburg, 2LetNow - JHB,R 6 100,,,Beds,2,2 | 1, ,2 Bedroom Apartment / Flat to Rent in Winchester Hills,
20191894,R 6 100 2 Bedroom Apartment / Flat to Rent in Robertsham 2 bedroom 1 bath to rent in Kibler Park from 5500 *Location Johannesburg *Dwelling apartment * Tied security in our complex -24 hours security and access ... 2 | 1,2 Bedroom Apartment / flat to rent in Robertsham - Johannesburg, 2LetNow - JHB,R 6 100,,,Beds,2,2 | 1, ,2 Bedroom Apartment / Flat to Rent in Robertsham,
20191895,R 8 000 1 Bedroom Apartment / Flat to Rent in Houghton Estate A 94sqm Apartment in a popular building. Walking distance to 2nd Avenue Mosque & HMA. Open-plan lounge ... Available: 01 June 2019 1 | 1 Floor Size: 94 m²,1 Bedroom Apartment / flat to rent in Houghton Estate - Johannesburg, Zareena Kara Properties,R 8 000,,Available: 01 June 2019,Beds,1,1,94 m²,1 Bedroom Apartment / Flat to Rent in Houghton Estate,
20191896,"R 5 000 Raymond Street, Bellevue 1 Bedroom Apartment / Flat to Rent in Bellevue Looking for a place to rent? Look no further. This spacious 84 m2 1 Bedroom offers plenty of space. Nicely ... Available: 05 December 2018 1 | 1 | 1 Floor Size: 84 m²",1 Bedroom Apartment / flat to rent in Bellevue - Johannesburg, Property.CoZa - Sandton,R 5 000,"Raymond Street, Bellevue",Available: 05 December 2018,Beds,1,1,84 m²,1 Bedroom Apartment / Flat to Rent in Bellevue,
20191897,"R 15 000 3 Bedroom Apartment / Flat to Rent in Glenhazel Centrally Located in the heart of Glenhazel, This unit offers a 3 bedroom 2 bathroom , main en suit Large ... Available: 04 February 2019 3 | 2 Floor Size: 120 m²",3 Bedroom Apartment / flat to rent in Glenhazel - Johannesburg, Firzt Realty Company Firzt Realty Company,R 15 000,,Available: 04 February 2019,Beds,3,2,120 m²,3 Bedroom Apartment / Flat to Rent in Glenhazel,
20191898,R 5 000 1 Bedroom Apartment / Flat to Rent in Maboneng Main Street life has fast become one of the hottest residential developments based in the Joburg CBD. With a ... Available: 15 March 2019 1 | 1,1 Bedroom Apartment / flat to rent in Maboneng - Johannesburg, Lukhanyo Property,R 5 000,,Available: 15 March 2019,Beds,1,1,,1 Bedroom Apartment / Flat to Rent in Maboneng,
20191899,"R 3 255 131 Pritchard Street Ilanga House, Johannesburg Central 1 Bedroom Apartment / Flat to Rent in Johannesburg Central Situated in the heart of the Fashion precinct within the inner-city at 131 Prichard Street, this recently renovated building offers apartments in a well ... 1 | 1",1 Bedroom Apartment / flat to rent in Johannesburg Central - Johannesburg, AFHCO Africa Housing Company,R 3 255,"131 Pritchard Street Ilanga House, Johannesburg Central",,Beds,1,1 | 1, ,1 Bedroom Apartment / Flat to Rent in Johannesburg Central,
20191900,"R 7 000 26 Juta Street, Braamfontein 1 Bedroom Apartment / Flat to Rent in Braamfontein Do not miss out this opportunity to live at Madison Lofts. This south facing bachelor boasts a spacious ... Available: 25 February 2019 1 | 1",1 Bedroom Apartment / flat to rent in Braamfontein - Johannesburg, Seeff - Johannesburg Central,R 7 000,"26 Juta Street, Braamfontein",Available: 25 February 2019,Beds,1,1,,1 Bedroom Apartment / Flat to Rent in Braamfontein,
20191901,"R 6 500 2 Bedroom Townhouse to Rent in Rispark Lovely simplex 2 bedroom, 1 bathroom with shower and bath. Open plan kitchen/lounge and patio looking over ... Available: 01 April 2019 2 | 1","2 Bedroom Townhouse to rent in Rispark - Johannesburg; RE/MAX, Superior - Mulbarton; Beds; Bathrooms", ,,"RE/MAX, Superior - Mulbarton",Beds, , ,,, ,
20191902,"R 21 000 The Apex, Hood Avenue, Rosebank 2 Bedroom Apartment / Flat to Rent in Rosebank Fully furnished luxury modern apartment in Rosebank. The apartment offers 2 bedrooms 2 bathrooms, kitchen ... Available: 01 February 2019 2 | 2 | 2 Floor Size: 100 m²", Beds, Bathrooms,,, ,2,100 m²,,,Available: 01 February 2019,
20191903,"R 5 850 2 Bedroom Apartment / Flat to Rent in Kibler Park Call now! This stunning unit will be snapped up quickly! - Spacious living areas, including a covered patio that is perfect for a relaxing weekend braai - ... 2 | 1 Floor Size: 51 m²",2 Bedroom Apartment / flat to rent in Kibler Park - Johannesburg, 2LetNow - JHB,R 5 850,,,Beds,2,2 | 1, Floor Size: 51 m²,2 Bedroom Apartment / Flat to Rent in Kibler Park,51 m²
20191904,R 7 000 2 Bedroom Townhouse to Rent in Winchester Hills This upstairs townhouse offer modern kitchen leading to open plan Lounge/dining area and big enclosed ... Available: 01 June 2019 2 | 1,2 Bedroom Townhouse to rent in Winchester Hills - Johannesburg, Natrent Rentals,R 7 000,,Available: 01 June 2019,Beds,2,1,,2 Bedroom Townhouse to Rent in Winchester Hills,
20191905,"R 3 150 114 Goud Street Lustre House, Johannesburg Central 1 Bedroom Apartment / Flat to Rent in Johannesburg Central 50% off first month's rent! No deposit! This recently renovated building, situated at 114 Goud Street, offers apartments in a well managed building that ... 1 | 0.5",1 Bedroom Apartment / flat to rent in Johannesburg Central - Johannesburg, AFHCO Africa Housing Company,R 3 150,"114 Goud Street Lustre House, Johannesburg Central",,Beds,1,1 | 0.5, ,1 Bedroom Apartment / Flat to Rent in Johannesburg Central,
20191906,"R 5 800 105 Juta Street , Braamfontein 0.5 Bedroom Apartment / Flat to Rent in Braamfontein Sawubona, Molo, Dumelang, Aa, Litjhani, Avuxeni, Hello! Urgent attention: Parents and 1st Year Students to Braamfontein! One of the largest commercial ... 0.5 | 1 Floor Size: 32 m²",0.5 Bedroom Apartment / flat to rent in Braamfontein - Johannesburg, Nkosi Property Group Office,R 5 800,"105 Juta Street , Braamfontein",,Beds,0.5,0.5 | 1, Floor Size: 32 m²,0.5 Bedroom Apartment / Flat to Rent in Braamfontein,32 m²
20191907,"R 5 550 35 Jules Street, Jeppestown 3 Bedroom Apartment / Flat to Rent in Jeppestown No lease fee !!! 35 Jules is a well located building situated in the heart of the Jeppestown community. ... Available: 04 April 2019 3 | 2",3 Bedroom Apartment / flat to rent in Jeppestown - Johannesburg, Mafadi Property Management Office,R 5 550,"35 Jules Street, Jeppestown",Available: 04 April 2019,Beds,3,2,,3 Bedroom Apartment / Flat to Rent in Jeppestown,
20191908,R 5 700 2 Bedroom Townhouse to Rent in Suideroord Call ''n moving company This is an outstanding opportunity. A stunning and well maintained ... Available: 01 April 2019 2 | 1 Floor Size: 62 m²,"2 Bedroom Townhouse to rent in Suideroord - Johannesburg; Just Property, Alberton; Beds; Bathrooms", ,,"Just Property, Alberton",Beds, , , ,, ,
20191909,"R 4 400 118 Pritchard Street Splendid Place, Johannesburg Central 1 Bedroom Apartment / Flat to Rent in Johannesburg Central Everyone deserves a place they can call home. No matter where you come from or where you are going in life ... Available: 11 February 2019 1 | 1", Beds, Bathrooms,,, ,1,,,,Available: 11 February 2019,
20191910,"R 7 500 29 Sunset View, 16 Swempie Crescent, Liefde En Vrede 2 Bedroom Townhouse to Rent in Liefde En Vrede Ground floor unit for Lease in Liefde en Vrede 2 Bedrooms, 1 Bathroom Kitchen, Lounge, Dining room 1 ... Available: 01 April 2019 2 | 1",2 Bedroom Townhouse to rent in Liefde En Vrede - Johannesburg, Lencar Exclusive Properties,R 7 500,"29 Sunset View, 16 Swempie Crescent, Liefde En Vrede",Available: 01 April 2019,Beds,2,1,,2 Bedroom Townhouse to Rent in Liefde En Vrede,
20191911,"R 15 000 2 Bedroom Apartment / Flat to Rent in Killarney Very urgent. This stunning apartment measuring 152 Square meters will tick all the boxes, units of this ... Available: 31 March 2019 2 | 2 | 2 Floor Size: 152 m²",2 Bedroom Apartment / flat to rent in Killarney - Johannesburg, Key Location,R 15 000,,Available: 31 March 2019,Beds,2,2,152 m²,2 Bedroom Apartment / Flat to Rent in Killarney,
20191912,"R 7 000 1 Bedroom Apartment / Flat to Rent in Marshalltown Lovely 1 bedroom apartment for rent in Marshalltown, Johannesburg Unit comes with one underground basement ... Available: 31 March 2019 1 | 1 | 1 Floor Size: 59 m²",1 Bedroom Apartment / flat to rent in Marshalltown - Johannesburg, Trafalgar Property Management,R 7 000,,Available: 31 March 2019,Beds,1,1,59 m²,1 Bedroom Apartment / Flat to Rent in Marshalltown,
20191913,"R 7 300 37 The Palisades, 10 Pruinosa Street, Glenvista 2 Bedroom Apartment / Flat to Rent in Glenvista Double volume apartment with magnificent views, 2 bedrooms, 2 bathrooms Extra spacious kitchen and ... Available: 01 April 2019 2 | 2",2 Bedroom Apartment / flat to rent in Glenvista - Johannesburg, Lencar Exclusive Properties,R 7 300,"37 The Palisades, 10 Pruinosa Street, Glenvista",Available: 01 April 2019,Beds,2,2,,2 Bedroom Apartment / Flat to Rent in Glenvista,
20191914,"R 6 770 11 Maclaren St marshalltown, Marshalltown Apartment / Flat to Rent in Marshalltown Save R3000 on 1st Month Rent on a 2 Bed Apartment in Marshalltown 2 Bed Apartments To Rent R6 770 We have ... Available: 01 May 2019 Floor Size: 50 m²", ,  ,Apartment / Flat to Rent in Marshalltown,Save R3000 on 1st Month Rent on a 2 Bed Apartment in Marshalltown 2 Bed Apartments To Rent R6 770 We have ...,,,,,,,
20191915,"R 4 800 Apartment / Flat to Rent in Jeppestown Immaculate 1 bedroom unit available to rent in a highly secure, well maintained and attractive complex with ... Available: 11 March 2019 1 Floor Size: 28 m²", Trafalgar Property Management, Bathrooms, , ,,,28 m²,,,Available: 11 March 2019,
20191916,"R 4 840 4 Garden Mews, Garden Street, Rosettenville 2 Bedroom Apartment / Flat to Rent in Rosettenville Ground floor 2 bedroom, 1 bathroom unit for lease in Rosettenville, Johannesburg. Close to all amenities Available: 30 April 2019 2 | 1",2 Bedroom Apartment / flat to rent in Rosettenville - Johannesburg, Lencar Exclusive Properties,R 4 840,"4 Garden Mews, Garden Street, Rosettenville",Available: 30 April 2019,Beds,2,1,,2 Bedroom Apartment / Flat to Rent in Rosettenville,
20191917,"R 4 500 1 Bedroom Apartment / Flat to Rent in Liefde En Vrede Fully tiled, one bedroom garden flat. will suit a single professional person or a couple. No children or ... Available: 04 April 2019 1 | 1",1 Bedroom Apartment / flat to rent in Liefde En Vrede - Johannesburg, Property.CoZa - Johannesburg South,R 4 500,,Available: 04 April 2019,Beds,1,1,,1 Bedroom Apartment / Flat to Rent in Liefde En Vrede,
20191918,"R 3 900 112 Pritchard, Johannesburg Central 1 Bedroom Apartment / Flat to Rent in Johannesburg Central Situated in the hub of Johannesburg, this clean and well looked after building has all the advantages a city ... Available: 01 May 2019 1 | 1",1 Bedroom Apartment / flat to rent in Johannesburg Central - Johannesburg, IHS Property Management,R 3 900,"112 Pritchard, Johannesburg Central",Available: 01 May 2019,Beds,1,1,,1 Bedroom Apartment / Flat to Rent in Johannesburg Central,
20191919,"R 7 500 2 Bedroom Townhouse to Rent in Mondeor 2 bedrooms, 2 bathrooms, main en suit. With a shower cubicle. Good security with an alarm system, Small block ... Available: 01 April 2019 2 | 2", Beds, Bathrooms,,, ,2,,,,Available: 01 April 2019,
20191920,"R 5 200 1 Bedroom Apartment / Flat to Rent in Auckland Park Bachelor flat to let in laborie village, open plan room with kitchen and 1 bathroom. Close to uj, milpark ... Available: 01 April 2019 1 | 1",1 Bedroom Apartment / flat to rent in Auckland Park - Johannesburg, Skye Letting,R 5 200,,Available: 01 April 2019,Beds,1,1,,1 Bedroom Apartment / Flat to Rent in Auckland Park,
20191921,"R 2 500 66 Small Street, Johannesburg Central 0.5 Bedroom Apartment / Flat to Rent in Johannesburg Central Layout and specifics : This unit is located in a high rise building with Laundromat, DSTV, 2 on-site ... Available: 10 April 2019 0.5 | 1",0.5 Bedroom Apartment / flat to rent in Johannesburg Central - Johannesburg, Framework Property Services,R 2 500,"66 Small Street, Johannesburg Central",Available: 10 April 2019,Beds,0.5,1,,0.5 Bedroom Apartment / Flat to Rent in Johannesburg Central,
20191922,"R 8 500 87 Commissioner , Marshalltown 1 Bedroom Apartment / Flat to Rent in Marshalltown Dumela, Sawubona, Molo, Aa, Avuxeni, Lotjhani, Hello! Luxury upmarket property available in building that ... Available: 01 December 2018 1 | 1 | 1 Floor Size: 92 m²",1 Bedroom Apartment / flat to rent in Marshalltown - Johannesburg, Nkosi Property Group Office,R 8 500,"87 Commissioner , Marshalltown",Available: 01 December 2018,Beds,1,1,92 m²,1 Bedroom Apartment / Flat to Rent in Marshalltown,
20191923,"R 16 500 21 Lawrence Road, Westcliff 2 Bedroom Apartment / Flat to Rent in Westcliff Newly built, secure and spacious 2 bedroom apartment to rent, in Johannesburg. This modern, 1st floor unit ... Available: 02 April 2019 2 | 2",2 Bedroom Apartment / flat to rent in Westcliff - Johannesburg, Rent - A - Property,R 16 500,"21 Lawrence Road, Westcliff",Available: 02 April 2019,Beds,2,2,,2 Bedroom Apartment / Flat to Rent in Westcliff,
20191924,"R 4 400 118 Pritchard Street Splendid Place, Johannesburg Central 1 Bedroom Apartment / Flat to Rent in Johannesburg Central Everyone deserves a place they can call home. No matter where you come from or where you are going in life ... Available: 11 February 2019 1 | 1", Beds, Bathrooms,,, ,1,,,,Available: 11 February 2019,
